method;line_search;id_parameter;alpha;beta;step;x_0;x_1
SteepestDescent;ExactLineSearch;4;;;2;-0.0024258309065000316;-0.0018308669015001389
SteepestDescent;ExactLineSearch;4;;;3;-0.0024258309065000316;8.330444401826072e-06
SteepestDescent;ExactLineSearch;4;;;4;-0.0024258309065000316;-3.790352202831118e-08
SteepestDescent;ExactLineSearch;4;;;0;0.21756331;0.40238833
SteepestDescent;ExactLineSearch;4;;;1;-0.0024258309065000316;0.40238833
SteepestDescent;ExactLineSearch;4;;;2;-0.0024258309065000316;-0.0018308669015001389
SteepestDescent;ExactLineSearch;4;;;3;-0.0024258309065000316;8.330444401826072e-06
SteepestDescent;ExactLineSearch;4;;;4;-0.0024258309065000316;-3.790352202831118e-08
SteepestDescent;ExactLineSearch;5;;;0;0.25104185;0.9828352
SteepestDescent;ExactLineSearch;5;;;1;0.25104185;-0.004471900160000208
SteepestDescent;ExactLineSearch;5;;;2;-0.0011422404175000511;-0.004471900160000208
SteepestDescent;ExactLineSearch;5;;;3;5.197193899625493e-06;-0.004471900160000208
SteepestDescent;ExactLineSearch;5;;;4;-2.364723224329782e-08;-0.004471900160000208
SteepestDescent;ExactLineSearch;5;;;0;0.25104185;0.9828352
SteepestDescent;ExactLineSearch;5;;;1;0.25104185;-0.004471900160000208
SteepestDescent;ExactLineSearch;5;;;2;-0.0011422404175000511;-0.004471900160000208
SteepestDescent;ExactLineSearch;5;;;3;5.197193899625493e-06;-0.004471900160000208
SteepestDescent;ExactLineSearch;5;;;4;-2.364723224329782e-08;-0.004471900160000208
SteepestDescent;ExactLineSearch;6;;;0;0.89292241;0.40218399
SteepestDescent;ExactLineSearch;6;;;1;0.008125593930999875;0.40218399
SteepestDescent;ExactLineSearch;6;;;2;0.008125593930999875;-0.0018299371545001386
SteepestDescent;ExactLineSearch;6;;;3;7.394290477209797e-05;-0.0018299371545001386
SteepestDescent;ExactLineSearch;6;;;4;6.728804334260851e-07;-0.0018299371545001386
SteepestDescent;ExactLineSearch;6;;;5;6.123211944177309e-09;-0.0018299371545001386
SteepestDescent;ExactLineSearch;6;;;0;0.89292241;0.40218399
SteepestDescent;ExactLineSearch;6;;;1;0.008125593930999875;0.40218399
SteepestDescent;ExactLineSearch;6;;;2;0.008125593930999875;-0.0018299371545001386
SteepestDescent;ExactLineSearch;6;;;3;7.394290477209797e-05;-0.0018299371545001386
SteepestDescent;ExactLineSearch;6;;;4;6.728804334260851e-07;-0.0018299371545001386
SteepestDescent;ExactLineSearch;6;;;5;6.123211944177309e-09;-0.0018299371545001386
SteepestDescent;ExactLineSearch;7;;;0;0.70322322;0.62067195
SteepestDescent;ExactLineSearch;7;;;1;0.0038677277099997687;0.62067195
SteepestDescent;ExactLineSearch;7;;;2;0.0038677277099997687;-0.0028240573725001328
SteepestDescent;ExactLineSearch;7;;;3;2.1272502404997944e-05;-0.0028240573725001328
SteepestDescent;ExactLineSearch;7;;;4;1.16998763227484e-07;-0.0028240573725001328
SteepestDescent;ExactLineSearch;7;;;5;6.434931977511337e-10;-0.0028240573725001328
SteepestDescent;ExactLineSearch;7;;;0;0.70322322;0.62067195
SteepestDescent;ExactLineSearch;7;;;1;0.0038677277099997687;0.62067195
SteepestDescent;ExactLineSearch;7;;;2;0.0038677277099997687;-0.0028240573725001328
SteepestDescent;ExactLineSearch;7;;;3;2.1272502404997944e-05;-0.0028240573725001328
SteepestDescent;ExactLineSearch;7;;;4;1.16998763227484e-07;-0.0028240573725001328
SteepestDescent;ExactLineSearch;7;;;5;6.434931977511337e-10;-0.0028240573725001328
SteepestDescent;ExactLineSearch;8;;;0;0.55573794;0.15436981
SteepestDescent;ExactLineSearch;8;;;1;0.003056558669999876;0.15436981
SteepestDescent;ExactLineSearch;8;;;2;0.003056558669999876;-0.0007023826355000429
SteepestDescent;ExactLineSearch;8;;;3;1.6811072684998467e-05;-0.0007023826355000429
SteepestDescent;ExactLineSearch;8;;;4;9.246089976748734e-08;-0.0007023826355000429
SteepestDescent;ExactLineSearch;8;;;5;5.085349487211569e-10;-0.0007023826355000429
SteepestDescent;ExactLineSearch;8;;;0;0.55573794;0.15436981
SteepestDescent;ExactLineSearch;8;;;1;0.003056558669999876;0.15436981
SteepestDescent;ExactLineSearch;8;;;2;0.003056558669999876;-0.0007023826355000429
SteepestDescent;ExactLineSearch;8;;;3;1.6811072684998467e-05;-0.0007023826355000429
SteepestDescent;ExactLineSearch;8;;;4;9.246089976748734e-08;-0.0007023826355000429
SteepestDescent;ExactLineSearch;8;;;5;5.085349487211569e-10;-0.0007023826355000429
SteepestDescent;ExactLineSearch;9;;;0;0.18443367;0.3813452
SteepestDescent;ExactLineSearch;9;;;1;0.007819987607999984;0.3813452
SteepestDescent;ExactLineSearch;9;;;2;0.007819987607999984;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;3;0.0003315674745791976;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;4;1.4058460922157924e-05;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;5;5.960787430994931e-07;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;6;2.5273738707418433e-08;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;0;0.18443367;0.3813452
SteepestDescent;ExactLineSearch;9;;;1;0.007819987607999984;0.3813452
SteepestDescent;ExactLineSearch;9;;;2;0.007819987607999984;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;3;0.0003315674745791976;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;4;1.4058460922157924e-05;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;5;5.960787430994931e-07;-0.0017351206600001445
SteepestDescent;ExactLineSearch;9;;;6;2.5273738707418433e-08;-0.0017351206600001445
SteepestDescent;ExactLineSearch;10;;;0;0.21203084;0.16113397
SteepestDescent;ExactLineSearch;10;;;1;0.0019294806440000034;0.16113397
SteepestDescent;ExactLineSearch;10;;;2;0.0019294806440000034;-0.0007331595635000632
SteepestDescent;ExactLineSearch;10;;;3;1.7558273860399836e-05;-0.0007331595635000632
SteepestDescent;ExactLineSearch;10;;;4;1.5978029212963566e-07;-0.0007331595635000632
SteepestDescent;ExactLineSearch;10;;;5;1.4540006583796593e-09;-0.0007331595635000632
SteepestDescent;ExactLineSearch;10;;;0;0.21203084;0.16113397
SteepestDescent;ExactLineSearch;10;;;1;0.0019294806440000034;0.16113397
SteepestDescent;ExactLineSearch;10;;;2;0.0019294806440000034;-0.0007331595635000632
SteepestDescent;ExactLineSearch;10;;;3;1.7558273860399836e-05;-0.0007331595635000632
SteepestDescent;ExactLineSearch;10;;;4;1.5978029212963566e-07;-0.0007331595635000632
SteepestDescent;ExactLineSearch;10;;;5;1.4540006583796593e-09;-0.0007331595635000632
SteepestDescent;ExactLineSearch;11;;;0;0.077346808;0.75811243
SteepestDescent;ExactLineSearch;11;;;1;0.077346808;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;2;0.001469589351999978;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;3;2.792219768799932e-05;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;4;5.305217560719817e-07;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;5;1.0079913365367553e-08;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;0;0.077346808;0.75811243
SteepestDescent;ExactLineSearch;11;;;1;0.077346808;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;2;0.001469589351999978;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;3;2.792219768799932e-05;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;4;5.305217560719817e-07;-0.003449411556500248
SteepestDescent;ExactLineSearch;11;;;5;1.0079913365367553e-08;-0.003449411556500248
SteepestDescent;ExactLineSearch;12;;;0;0.91380041;0.87111112
SteepestDescent;ExactLineSearch;12;;;1;0.011331125083999805;0.87111112
SteepestDescent;ExactLineSearch;12;;;2;0.011331125083999805;-0.003963555596000257
SteepestDescent;ExactLineSearch;12;;;3;0.00014050595104159527;-0.003963555596000257
SteepestDescent;ExactLineSearch;12;;;4;1.742273792915773e-06;-0.003963555596000257
SteepestDescent;ExactLineSearch;12;;;5;2.1604195032155282e-08;-0.003963555596000257
SteepestDescent;ExactLineSearch;12;;;0;0.91380041;0.87111112
SteepestDescent;ExactLineSearch;12;;;1;0.011331125083999805;0.87111112
SteepestDescent;ExactLineSearch;12;;;2;0.011331125083999805;-0.003963555596000257
SteepestDescent;ExactLineSearch;12;;;3;0.00014050595104159527;-0.003963555596000257
SteepestDescent;ExactLineSearch;12;;;4;1.742273792915773e-06;-0.003963555596000257
SteepestDescent;ExactLineSearch;12;;;5;2.1604195032155282e-08;-0.003963555596000257
SteepestDescent;ExactLineSearch;13;;;0;0.70671522;0.35077674
SteepestDescent;ExactLineSearch;13;;;1;0.003886933709999818;0.35077674
SteepestDescent;ExactLineSearch;13;;;2;0.003886933709999818;-0.0015960341670001044
SteepestDescent;ExactLineSearch;13;;;3;2.137813540499826e-05;-0.0015960341670001044
SteepestDescent;ExactLineSearch;13;;;4;1.1757974472748414e-07;-0.0015960341670001044
SteepestDescent;ExactLineSearch;13;;;5;6.4668859600114e-10;-0.0015960341670001044
SteepestDescent;ExactLineSearch;13;;;0;0.70671522;0.35077674
SteepestDescent;ExactLineSearch;13;;;1;0.003886933709999818;0.35077674
SteepestDescent;ExactLineSearch;13;;;2;0.003886933709999818;-0.0015960341670001044
SteepestDescent;ExactLineSearch;13;;;3;2.137813540499826e-05;-0.0015960341670001044
SteepestDescent;ExactLineSearch;13;;;4;1.1757974472748414e-07;-0.0015960341670001044
SteepestDescent;ExactLineSearch;13;;;5;6.4668859600114e-10;-0.0015960341670001044
SteepestDescent;ExactLineSearch;14;;;0;0.55778897;0.68553571
SteepestDescent;ExactLineSearch;14;;;1;0.018128141524999863;0.68553571
SteepestDescent;ExactLineSearch;14;;;2;0.018128141524999863;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;3;0.0005891645995624896;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;4;1.914784948578072e-05;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;5;6.223051082878695e-07;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;6;2.0224916019355653e-08;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;0;0.55778897;0.68553571
SteepestDescent;ExactLineSearch;14;;;1;0.018128141524999863;0.68553571
SteepestDescent;ExactLineSearch;14;;;2;0.018128141524999863;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;3;0.0005891645995624896;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;4;1.914784948578072e-05;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;5;6.223051082878695e-07;-0.0031191874805002184
SteepestDescent;ExactLineSearch;14;;;6;2.0224916019355653e-08;-0.0031191874805002184
SteepestDescent;ExactLineSearch;15;;;0;0.31342899;0.29414863
SteepestDescent;ExactLineSearch;15;;;1;0.005955150809999921;0.29414863
SteepestDescent;ExactLineSearch;15;;;2;0.005955150809999921;-0.0013383762665000742
SteepestDescent;ExactLineSearch;15;;;3;0.00011314786538999672;-0.0013383762665000742
SteepestDescent;ExactLineSearch;15;;;4;2.149809442409905e-06;-0.0013383762665000742
SteepestDescent;ExactLineSearch;15;;;5;4.084637940578754e-08;-0.0013383762665000742
SteepestDescent;ExactLineSearch;15;;;0;0.31342899;0.29414863
SteepestDescent;ExactLineSearch;15;;;1;0.005955150809999921;0.29414863
SteepestDescent;ExactLineSearch;15;;;2;0.005955150809999921;-0.0013383762665000742
SteepestDescent;ExactLineSearch;15;;;3;0.00011314786538999672;-0.0013383762665000742
SteepestDescent;ExactLineSearch;15;;;4;2.149809442409905e-06;-0.0013383762665000742
SteepestDescent;ExactLineSearch;15;;;5;4.084637940578754e-08;-0.0013383762665000742
SteepestDescent;ExactLineSearch;16;;;0;0.16620356;0.5306293
SteepestDescent;ExactLineSearch;16;;;1;0.007047030943999971;0.5306293
SteepestDescent;ExactLineSearch;16;;;2;0.007047030943999971;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;3;0.0002987941120255978;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;4;1.2668870349885283e-05;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;5;5.371601028351339e-07;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;6;2.2775588360209528e-08;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;0;0.16620356;0.5306293
SteepestDescent;ExactLineSearch;16;;;1;0.007047030943999971;0.5306293
SteepestDescent;ExactLineSearch;16;;;2;0.007047030943999971;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;3;0.0002987941120255978;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;4;1.2668870349885283e-05;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;5;5.371601028351339e-07;-0.002414363315000112
SteepestDescent;ExactLineSearch;16;;;6;2.2775588360209528e-08;-0.002414363315000112
SteepestDescent;ExactLineSearch;17;;;0;0.62249726;0.83242339
SteepestDescent;ExactLineSearch;17;;;1;0.62249726;-0.0037875264245003093
SteepestDescent;ExactLineSearch;17;;;2;-0.002832362533000121;-0.0037875264245003093
SteepestDescent;ExactLineSearch;17;;;3;1.2887249525151464e-05;-0.0037875264245003093
SteepestDescent;ExactLineSearch;17;;;4;-5.863698533944292e-08;-0.0037875264245003093
SteepestDescent;ExactLineSearch;17;;;0;0.62249726;0.83242339
SteepestDescent;ExactLineSearch;17;;;1;0.62249726;-0.0037875264245003093
SteepestDescent;ExactLineSearch;17;;;2;-0.002832362533000121;-0.0037875264245003093
SteepestDescent;ExactLineSearch;17;;;3;1.2887249525151464e-05;-0.0037875264245003093
SteepestDescent;ExactLineSearch;17;;;4;-5.863698533944292e-08;-0.0037875264245003093
SteepestDescent;ExactLineSearch;18;;;0;0.98793473;0.59749019
SteepestDescent;ExactLineSearch;18;;;1;0.008990206042999938;0.59749019
SteepestDescent;ExactLineSearch;18;;;2;0.008990206042999938;-0.0027185803645001227
SteepestDescent;ExactLineSearch;18;;;3;8.181087499129804e-05;-0.0027185803645001227
SteepestDescent;ExactLineSearch;18;;;4;7.444789624208093e-07;-0.0027185803645001227
SteepestDescent;ExactLineSearch;18;;;5;6.774758558029331e-09;-0.0027185803645001227
SteepestDescent;ExactLineSearch;18;;;0;0.98793473;0.59749019
SteepestDescent;ExactLineSearch;18;;;1;0.008990206042999938;0.59749019
SteepestDescent;ExactLineSearch;18;;;2;0.008990206042999938;-0.0027185803645001227
SteepestDescent;ExactLineSearch;18;;;3;8.181087499129804e-05;-0.0027185803645001227
SteepestDescent;ExactLineSearch;18;;;4;7.444789624208093e-07;-0.0027185803645001227
SteepestDescent;ExactLineSearch;18;;;5;6.774758558029331e-09;-0.0027185803645001227
SteepestDescent;ExactLineSearch;19;;;0;0.17043202;0.33531133
SteepestDescent;ExactLineSearch;19;;;1;0.0021133570479999753;0.33531133
SteepestDescent;ExactLineSearch;19;;;2;0.0021133570479999753;-0.001525666551500049
SteepestDescent;ExactLineSearch;19;;;3;2.6205627395199226e-05;-0.001525666551500049
SteepestDescent;ExactLineSearch;19;;;4;3.249497797004669e-07;-0.001525666551500049
SteepestDescent;ExactLineSearch;19;;;5;4.029377268285755e-09;-0.001525666551500049
SteepestDescent;ExactLineSearch;19;;;0;0.17043202;0.33531133
SteepestDescent;ExactLineSearch;19;;;1;0.0021133570479999753;0.33531133
SteepestDescent;ExactLineSearch;19;;;2;0.0021133570479999753;-0.001525666551500049
SteepestDescent;ExactLineSearch;19;;;3;2.6205627395199226e-05;-0.001525666551500049
SteepestDescent;ExactLineSearch;19;;;4;3.249497797004669e-07;-0.001525666551500049
SteepestDescent;ExactLineSearch;19;;;5;4.029377268285755e-09;-0.001525666551500049
